method,trial,success,good_grasp,closed,errored,final_err_mm,post_grasp_err_mm,lift_dz_m,dur_s,max_disp_mm,path_len_mm,mean_speed_mms,rms_radial_mm,sway_area_mm2,rms_long_mm,rms_lat_mm,ellipse_ratio,yaw_rms_deg,yaw_range_deg,z_rms_mm,mpf_hz
centroid,01,0,0,0,0,,9.5,0.0631,,,,,,,,,,,,,
centroid,02,0,1,0,0,,7.9,0.0046,,,,,,,,,,,,,
centroid,03,1,1,0,0,,6.3,0.0591,341.6,21.1,163.2,0.48,13.67,1030.5,10.08,9.23,0.32,2.66,6.93,3.55,0.032
centroid,04,1,1,0,0,,8.1,0.061,351.6,23.3,178.7,0.51,15.64,1259.4,9.79,12.2,0.3,5.01,11.65,3.32,0.025
centroid,05,1,1,0,0,,6.8,0.0595,341.9,21.5,180.4,0.53,13.98,1106.7,10.09,9.68,0.33,3.15,10.8,3.5,0.026
centroid,06,1,1,0,0,,8.6,0.0602,332.1,20.6,168.7,0.51,13.66,1026.4,9.19,10.1,0.32,2.9,7.23,3.54,0.024
centroid,07,1,1,0,0,,7.8,0.0595,333.3,21.2,171.0,0.51,13.54,1045.7,9.92,9.21,0.34,2.76,7.01,3.52,0.028
centroid,08,1,1,0,0,,8.3,0.0601,332.3,20.0,169.7,0.51,13.56,1015.6,9.11,10.04,0.32,2.83,7.08,3.56,0.026
centroid,09,1,1,0,0,,8.9,0.0593,329.4,21.4,170.3,0.52,13.61,1055.1,10.08,9.14,0.34,2.76,7.04,3.52,0.027
centroid,10,1,1,0,0,,10.0,0.0617,329.5,20.0,167.9,0.51,13.53,1011.7,8.97,10.12,0.32,2.83,7.06,3.57,0.024
centroid,17,1,1,0,0,,8.7,0.0609,333.7,22.0,142.3,0.43,13.53,1064.3,9.23,9.9,0.35,2.81,7.1,3.79,0.019
centroid,18,1,1,0,0,,7.8,0.0598,333.4,20.9,165.0,0.49,13.54,1044.0,9.64,9.5,0.34,2.84,7.18,3.52,0.024
centroid,19,1,1,0,0,,9.9,0.0608,343.1,20.8,163.8,0.48,13.79,1045.6,9.44,10.06,0.32,2.91,7.26,3.54,0.028
centroid,20,1,1,0,0,,9.6,0.0609,339.2,21.0,174.0,0.51,13.87,1073.8,9.96,9.66,0.33,2.83,7.18,3.54,0.025
centroid,21,1,1,0,0,,8.7,0.0604,328.8,20.9,169.8,0.52,13.74,1044.6,9.35,10.06,0.33,2.92,7.29,3.54,0.025
centroid,22,1,1,0,0,,9.9,0.06,331.9,21.0,172.5,0.52,13.65,1061.8,9.91,9.39,0.34,2.8,7.1,3.52,0.027
centroid,23,1,1,0,0,,8.8,0.0604,344.0,20.7,169.8,0.49,13.68,1028.2,9.18,10.15,0.32,2.88,7.13,3.56,0.024
centroid,24,1,1,0,0,,8.2,0.0602,337.7,21.3,171.7,0.51,13.53,1044.0,9.75,9.38,0.34,2.82,7.13,3.51,0.026
centroid,25,1,1,0,0,,9.3,0.0605,330.6,20.8,165.3,0.5,13.57,1024.8,9.22,9.96,0.33,2.83,7.08,3.56,0.027
centroid,26,1,1,0,0,,6.7,0.0595,332.4,20.9,171.8,0.52,13.8,1071.5,10.06,9.45,0.33,2.96,7.48,3.49,0.028
centroid,27,1,1,0,0,,9.8,0.0605,337.7,20.6,167.2,0.5,13.74,1041.5,9.34,10.08,0.32,2.9,7.22,3.53,0.025
centroid,28,1,1,0,0,,9.7,0.0605,346.5,21.0,173.7,0.5,13.74,1057.7,9.82,9.61,0.33,2.76,6.99,3.54,0.025
centroid,29,1,1,0,0,,8.0,0.0602,338.9,21.1,173.2,0.51,13.65,1057.1,9.41,9.89,0.34,2.87,7.2,3.56,0.024
centroid,30,1,1,0,0,,7.9,0.0596,332.2,21.1,168.0,0.51,13.62,1058.3,9.71,9.55,0.34,2.97,7.44,3.5,0.027
centroid_vs,01,1,1,0,0,,1.7,0.0614,335.5,20.3,169.9,0.51,13.48,1033.6,9.32,9.75,0.34,2.8,7.05,3.53,0.024
centroid_vs,02,1,1,0,0,,2.1,0.0614,334.0,20.8,174.1,0.52,13.54,1049.9,9.74,9.4,0.34,2.74,7.0,3.51,0.023
centroid_vs,03,1,1,0,0,,3.0,0.0619,335.3,20.8,181.5,0.54,13.52,1037.9,9.39,9.73,0.34,2.74,6.97,3.55,0.023
centroid_vs,04,1,1,0,0,,1.6,0.0604,337.1,20.7,170.9,0.51,13.59,1059.1,9.74,9.47,0.34,2.85,7.28,3.5,0.021
centroid_vs,05,1,1,0,0,,1.1,0.0617,342.2,20.6,169.5,0.5,13.41,1015.3,9.36,9.61,0.33,2.71,6.85,3.53,0.024
centroid_vs,06,1,1,0,0,,2.0,0.0619,334.6,20.4,168.4,0.5,13.35,1031.6,9.58,9.3,0.34,2.67,6.89,3.55,0.022
centroid_vs,07,1,1,0,0,,4.4,0.0614,339.8,20.8,171.8,0.51,13.62,1039.6,9.39,9.86,0.33,2.91,7.33,3.5,0.023
centroid_vs,08,1,1,0,0,,2.0,0.0607,349.5,20.5,167.4,0.48,13.57,1058.2,9.72,9.47,0.34,2.99,7.61,3.43,0.021
centroid_vs,09,1,1,0,0,,3.6,0.0617,347.4,21.1,176.1,0.51,13.59,1044.6,9.41,9.81,0.33,2.75,6.97,3.55,0.021
centroid_vs,10,1,1,0,0,,2.8,0.0605,340.6,20.2,172.5,0.51,13.64,1059.6,9.76,9.53,0.34,2.85,7.29,3.49,0.02
